STOCKCODE,PRODUCT_NAME,MEMBER_OFFER_INDICATOR,ONLINE_ONLY_MEMBER_OFFER_INDICATOR,PRICE,MEMBER_PRICE,SAVINGS_AMOUNT,LOYALTY_MULTIPLIER,PACKAGE_SIZE,PACKAGE_TYPE,PACK_FORMAT,BRAND,CATEGORY,SUBCATEGORY,ALCOHOL_VOLUME,DANS_MARKETPLACE,STOCK_AVAILABLE,PRODUCT_URL,POSTCODE,SCRAPE_DATE,FILENAME
ER_2000003512_375-16-PAR,Pilsner 375mL,N,N,60,,,,375ML,case (16),16,Parc,,,0.5%,Y,N,www.danmurphys.com.au/product/ER_2000003512_375-16-PAR,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003512_375-16-PAR,Pilsner 375mL,N,N,16,,,,375ML,each,,Parc,,,0.5%,Y,N,www.danmurphys.com.au/product/ER_2000003512_375-16-PAR,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
588042,Brandy 500mL,N,N,60.99,,,,500ML,each,1,Paris Seduction,,,37%,N,Y,www.danmurphys.com.au/product/588042,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
588042,Brandy 500mL,N,N,0,,,,500ML,case (6),,Paris Seduction,,,37%,N,Y,www.danmurphys.com.au/product/588042,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
588042,Brandy 500mL,N,N,0,,,,500ML,in any six,1,Paris Seduction,,,37%,N,Y,www.danmurphys.com.au/product/588042,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
904201,Lychee Liqueur 700mL,Y,N,55,55,10.99,,700mL," per bottle ",1,Paraiso,,,24.0%,N,Y,www.danmurphys.com.au/product/904201,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
904201,Lychee Liqueur 700mL,Y,N,65.99,55,10.99,,700mL,each,1,Paraiso,,,24.0%,N,Y,www.danmurphys.com.au/product/904201,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000005100_PSH20US,Langhorne Creek Shiraz 2020,N,N,0,,,,750ML,in any six,,Paringa,,,14.9%,Y,N,www.danmurphys.com.au/product/ER_2000005100_PSH20US,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000005100_PSH20US,Langhorne Creek Shiraz 2020,N,N,16,,,,750ML,each,,Paringa,,,14.9%,Y,N,www.danmurphys.com.au/product/ER_2000005100_PSH20US,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000005100_PSH20US,Langhorne Creek Shiraz 2020,N,N,144,,,,750ML,case (12),12,Paringa,,,14.9%,Y,N,www.danmurphys.com.au/product/ER_2000005100_PSH20US,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003120_270201,Strawberry and Cream Liqueur 700mL,N,N,75,,,,700ML,each,1,Paris Rose,,,25%,Y,Y,www.danmurphys.com.au/product/ER_2000003120_270201,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003120_270201,Strawberry and Cream Liqueur 700mL,N,N,0,,,,700ML,case (x),,Paris Rose,,,25%,Y,Y,www.danmurphys.com.au/product/ER_2000003120_270201,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003120_270201,Strawberry and Cream Liqueur 700mL,N,N,0,,,,700ML,in any six,1,Paris Rose,,,25%,Y,Y,www.danmurphys.com.au/product/ER_2000003120_270201,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000004266_PGIN,Spirit 700mL,N,N,84.95,,,,700mL,each,1,Paradise Gin (featuring Kakadu Plum),,,40%,Y,Y,www.danmurphys.com.au/product/ER_2000004266_PGIN,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000004266_PGIN,Spirit 700mL,N,N,480,,,,700mL,case (6),6,Paradise Gin (featuring Kakadu Plum),,,40%,Y,Y,www.danmurphys.com.au/product/ER_2000004266_PGIN,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000004266_PGIN,Spirit 700mL,N,N,0,,,,700mL,in any six,1,Paradise Gin (featuring Kakadu Plum),,,40%,Y,Y,www.danmurphys.com.au/product/ER_2000004266_PGIN,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
29940,Riesling,N,N,15.2,,,,750mL,in any six,1,Paradies,,,11%,N,N,www.danmurphys.com.au/product/29940,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
29940,Riesling,N,N,91.2,,,,750mL,case (6),6,Paradies,,,11%,N,N,www.danmurphys.com.au/product/29940,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
29940,Riesling,N,N,15.99,,,,750mL,each,1,Paradies,,,11%,N,N,www.danmurphys.com.au/product/29940,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003482_22SBLSAPAC12,SA Sauvignon Blanc 2022,N,N,0,,,,750ML,in any six,,Paradise Creek,,,11%,Y,N,www.danmurphys.com.au/product/ER_2000003482_22SBLSAPAC12,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003482_22SBLSAPAC12,SA Sauvignon Blanc 2022,N,N,11.17,,,,750ML,each,,Paradise Creek,,,11%,Y,N,www.danmurphys.com.au/product/ER_2000003482_22SBLSAPAC12,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
ER_2000003482_22SBLSAPAC12,SA Sauvignon Blanc 2022,N,N,134,,,,750ML,case (12),12,Paradise Creek,,,11%,Y,N,www.danmurphys.com.au/product/ER_2000003482_22SBLSAPAC12,7250,2025-03-31,danmurphys_2025-03-31_7250?.csv
